user_id,produtos
1,26088 38928 39657
7,40852 47272
9,1559 8467 17600 41844
13,4210
14,29615
18,36216
21,10957 12683
27,1323 4920 21137 21386 33754 46906
29,1330 37645 39803
38,2086 4799 47209
42,13187 22795 39275
43,3990 23909 33027
46,13733 24852
55,18175
56,13565 21903 31915 32864
59,4472 13176 40545 47209
62,24852 39121
64,21903 47209
65,6656
67,196
71,117 3376 21555 24964
76,36107
79,16616
80,24010 33002 43713
86,13176 22935
87,3999
89,23094
90,19204
91,1463 5337 5876 9515 17835 33754 34668 42536
95,20754
97,23224
102,28985
105,12341 26317
106,17335
108,42736
109,5450 21936 26477
110,260 41149 47766
111,25985 32655
114,19049
118,13176 46676
121,25931
123,11759 26914 30720 35561
124,29223 45290
125,10613 13287 13866
130,27845
131,15011 42244
132,27845 34243
135,16234
140,1000 1503 9070 19894
143,8153 40723
144,39527
145,43616
146,2513 9076 21137
147,38164
160,17951 40022
161,21137
164,4942 10212
175,28199
176,24852
179,46667
184,31076
187,1160
189,2748 47766
192,13032 26317
195,19691 29015
197,8555 11925 17794 24964 27845 35004 39160 40571 43165 47766
204,7515 19478 32486 42637
206,41716
209,48335
210,8277 23734 49437
211,47626
214,16797
219,26094 35368 37654
222,2707 45531
223,21903 28054
229,33787
230,20039
231,8174 33055 43086
238,3285 5097 10365 17993 19097
242,9076 10673
243,4562 21137
245,23029 43154 49235
250,30233
262,14772
264,8412 14711 22504 24852 47766
267,17330
270,3298 21292
273,38558
278,27086
280,13176 40174 47766
289,13176
295,8174 28476 34270 43768
298,7571 13375
305,2078 14947
322,10749 47209
323,9550 29752 46676
327,33731
340,26315
341,27966
350,6104 46906
351,2825 27845 38273
355,38274
357,8174 10840 35734
359,21616
361,14197
363,41540 47766
365,18503
370,12431
374,46149
376,39990
379,7559
380,17429
382,34866
383,24852
390,26209 33055 46654
391,47766
393,7175 44987
396,3308
403,22959
409,16759 17122 44479
411,6292 28934
421,10895
425,18656
429,47977
431,26115
432,44359
433,26369
434,44632
435,812 17183 18840 21781 29801
437,20511
438,10246 33000 45007
441,37710
442,47766
444,14874 20842 21288 21938 24852 34949 42265
448,22474
449,6343 32624
452,14992 34358 41273
453,5450
454,27958 28993 47931
457,39497
466,9839 47766
469,1110 33816
470,1940
471,16185 27360
472,39275
473,5819 7631 16797 21793
475,34270
476,27900
479,277 28647
486,9186 24810 29307 31342 38650
487,10369 12206 21376 21527 38387 44449 45445 46802
489,28985
493,3682 15527
494,17794 39877 47388
497,26790
502,10385 44765
504,39877
506,21137
520,8518 26209
525,34487
526,23037 24132 27246 43508 46388 47569
528,14462 27521 39877
531,33827
536,21903
542,43352
550,7076 26209 47890
552,2295 47759
559,21616 33198
563,14947 16797 49683
567,27845 35078 39134
568,5077
570,8022 24852 28928 34012 38689
571,13805 19376 40706
577,26209
582,3318 14992 29346 41729 47626
584,11777 17027
600,14766 17454 33043 34525
602,4942 21137
603,24235
604,16759 32869
606,13176 23288
607,5917
609,4410
611,1032 40214
612,4920
616,11520 21137
623,7781 9387 22124 25513 30489 45445
625,11281 30661 31159
626,9292
628,21405
632,13176
637,3389 45769
638,2116 21072 33750
644,24499
649,2611 23938 26131
650,5161 28928 34429 35939 36695
655,33198
667,20084 25466
671,2240 29110
672,18027 22993
674,8518 45007
676,196
684,19660
685,32935
687,1463 26209 35561
699,939 27344 36848 47766
703,3318 11001 23693
704,4796 30450 34262 39190
710,6669 24852
711,22046 46802
723,24184 44359 47937
725,25495 38739
726,15164
727,44265
731,3407 44156
750,27966
753,24852
754,43720
755,5322 6069 20877
768,3397 18376 20995 26209
777,43352
779,30406 46724
786,8736 16797
799,17487 41079
809,21903 36929
816,31040 42265
818,21137 37646
822,34658
833,13176 21137
835,36051
839,3397 25346 30391 47792
840,12144 47626
841,4410 23282 40571
844,33120
845,890 14462 27156 38293
847,26294 30233
852,28071 34969 41005
854,9839 13176 44359
855,4889 17341 27224
857,9339 16490 33796 36011
859,7035 10749 24852 32740 49520
863,11576 21709 25466 26209 35939 46616
864,47209
866,6265 16798 17518 28459 38553
873,8390 16797 24852 31640
875,26831
881,9225 49325
882,12341 15772
883,46906
885,651
886,23854
888,30233 38777
889,27104 47766
890,28601 36011 36165 38944
891,11744 40545
892,21903
897,39922 42265
900,26315 36865 47626
906,25890
907,6774 19508 26209
913,25265
915,5959 13176 20345 39275
916,24368
917,11678 17615 21553 32303 33331
919,20345
925,26790
932,13176 47209
936,15541
939,6748 24024
941,2732
943,2536
944,13249
946,8670 24852 28842
949,1689
950,4149 12341 21903
951,37131
956,19348
957,27521 36913 38383
958,8986 43772
962,43295
968,48894
